pdf_file,page_number,sentence_number_on_page,root_concept,matched_terms,sentence
Chouinard-affordances.pdf,1,1,artifact,Technology,"https://doi.org/10.1177/0270467617714944 Bulletin of Science, Technology & Society 2016, Vol."
Chouinard-affordances.pdf,1,2,affordance,Affordance,"36(4) 241­–248 © The Author(s) 2017 Reprints and permissions: sagepub.com/journalsPermissions.nav DOI: 10.1177/0270467617714944 journals.sagepub.com/home/bst Article Affordance has emerged as a central analytic tool within science and technology studies, ecological psychology, communication studies, and design fields (Evans, Pearce, Vitak, & Treem, 2017; Nagy & Neff, 2015; Parchoma, 2014; Torenvliet, 2003)."
Chouinard-affordances.pdf,1,2,artifact,technology; tool,"36(4) 241­–248 © The Author(s) 2017 Reprints and permissions: sagepub.com/journalsPermissions.nav DOI: 10.1177/0270467617714944 journals.sagepub.com/home/bst Article Affordance has emerged as a central analytic tool within science and technology studies, ecological psychology, communication studies, and design fields (Evans, Pearce, Vitak, & Treem, 2017; Nagy & Neff, 2015; Parchoma, 2014; Torenvliet, 2003)."
Chouinard-affordances.pdf,1,3,affordance,affordance,"Broadly, affordance refers to the range of functions and constraints that an object provides for, and places upon, structurally situated subjects."
Chouinard-affordances.pdf,1,3,artifact,object,"Broadly, affordance refers to the range of functions and constraints that an object provides for, and places upon, structurally situated subjects."
Chouinard-affordances.pdf,1,4,affordance,affordance,"In the context of this article, the analytic import of affordance is its capacity to recognize technology as efficacious, without falling prey to technological determinism (Neff, Jordan, McVeigh-Schultz, & Gillespie, 2012)."
Chouinard-affordances.pdf,1,4,artifact,technology,"In the context of this article, the analytic import of affordance is its capacity to recognize technology as efficacious, without falling prey to technological determinism (Neff, Jordan, McVeigh-Schultz, & Gillespie, 2012)."
Chouinard-affordances.pdf,1,6,affordance,affordance,"As an interdisciplinary construct, affordance is both persis- tent and pervasive across literatures (Evans et al., 2017; McGrenere & Ho, 2000; Parchoma, 2014)."
Chouinard-affordances.pdf,1,8,affordance,affordance,"Despite widespread application, affordance maintains a sordid history in which overuse, misuse, and varied uses have led some to argue that analysts should abandon the term altogether (Oliver, 2005)."
Chouinard-affordances.pdf,1,10,affordance,affordance,"Beginning with the assumption that affordance does important theoretical and practical work, this article proposes a nuanced and dynamic model that brings much needed structure and precision to affordance theory, facilitating complex analyses of subject-artifact relationships through a user-friendly framework."
Chouinard-affordances.pdf,1,10,artifact,artifact,"Beginning with the assumption that affordance does important theoretical and practical work, this article proposes a nuanced and dynamic model that brings much needed structure and precision to affordance theory, facilitating complex analyses of subject-artifact relationships through a user-friendly framework."
Chouinard-affordances.pdf,1,11,affordance,afford,"Out of debates within the affordances literature, we distill three broad critiques: (a) definitional confusion, (b) a false binary in which artifacts either afford or do not, and (c) failure to account for diverse subjects and circumstances."
Chouinard-affordances.pdf,1,15,affordance,afford,Mechanisms represent grada- tions in the ways that artifacts afford and conditions repre- sent the diverse circumstances through which mechanisms take shape.
Chouinard-affordances.pdf,1,16,affordance,Affordance,Conceptualization: What Is an Affordance?
Chouinard-affordances.pdf,1,17,affordance,Affordance,"Affordance first emerged within ecological psychology, defined succinctly as “what things furnish, for good or ill” (Gibson, 1966, p. 285)."
Chouinard-affordances.pdf,1,22,artifact,Technology,"(Gibson, 1979, p. 127, italics in original) A decade later, Norman (1988) proposed an alternate defini- tion, one that emphasized perception and brought the con- cept into design studies: 714944 BSTXXX10.1177/0270467617714944Bulletin of Science, Technology & SocietyDavis and Chouinard research-article2017 1Australian National University, Canberra, ACT, Australia Corresponding Author: Jenny L. Davis, School of Sociology, Australian National University, Building 22, Haydon Allen Building, Acton, ACT 2601, Australia."
Chouinard-affordances.pdf,1,22,perception,perception,"(Gibson, 1979, p. 127, italics in original) A decade later, Norman (1988) proposed an alternate defini- tion, one that emphasized perception and brought the con- cept into design studies: 714944 BSTXXX10.1177/0270467617714944Bulletin of Science, Technology & SocietyDavis and Chouinard research-article2017 1Australian National University, Canberra, ACT, Australia Corresponding Author: Jenny L. Davis, School of Sociology, Australian National University, Building 22, Haydon Allen Building, Acton, ACT 2601, Australia."
Chouinard-affordances.pdf,1,23,affordance,affordance,"Email: jennifer.davis@anu.edu.au Theorizing Affordances: From Request to Refuse Jenny L. Davis1 and James B. Chouinard1 Abstract As a concept, affordance is integral to scholarly analysis across multiple fields—including media studies, science and technology studies, communication studies, ecological psychology, and design studies among others."
Chouinard-affordances.pdf,1,23,artifact,technology,"Email: jennifer.davis@anu.edu.au Theorizing Affordances: From Request to Refuse Jenny L. Davis1 and James B. Chouinard1 Abstract As a concept, affordance is integral to scholarly analysis across multiple fields—including media studies, science and technology studies, communication studies, ecological psychology, and design studies among others."
Chouinard-affordances.pdf,1,24,affordance,afford,"Critics, however, rightly point to the following shortcomings: definitional confusion, a false binary in which artifacts either afford or do not, and failure to account for diverse subject-artifact relations."
Chouinard-affordances.pdf,1,24,artifact,artifact,"Critics, however, rightly point to the following shortcomings: definitional confusion, a false binary in which artifacts either afford or do not, and failure to account for diverse subject-artifact relations."
Chouinard-affordances.pdf,1,25,affordance,affordance,"Addressing these critiques, this article demarcates the mechanisms of affordance— as artifacts request, demand, allow, encourage, discourage, and refuse—which take shape through interrelated conditions: perception, dexterity, and cultural and institutional legitimacy."
Chouinard-affordances.pdf,1,25,perception,perception,"Addressing these critiques, this article demarcates the mechanisms of affordance— as artifacts request, demand, allow, encourage, discourage, and refuse—which take shape through interrelated conditions: perception, dexterity, and cultural and institutional legitimacy."
